cli_id;cli_name;cli_cpf;ads_id
151;151;804-03-9290;33
152;152;373-49-1389;205
153;153;814-37-0365;181
154;154;702-24-4110;218
155;155;192-80-4644;79
156;156;859-30-7484;276
157;157;438-67-1173;220
158;158;102-29-4483;227
159;159;441-83-4365;214
160;160;382-65-4614;203
161;161;678-85-3813;148
162;162;219-68-6679;184
163;163;212-05-5038;282
164;164;399-42-1297;125
165;165;563-76-7420;271
166;166;862-72-1461;294
167;167;734-93-1764;41
168;168;643-64-8449;81
169;169;371-32-7487;299
170;170;532-28-2031;155
171;171;603-79-1851;213
172;172;774-36-6543;17
173;173;184-26-7832;151
174;174;402-28-1990;31
175;175;704-12-2948;34
176;176;257-45-3315;105
177;177;306-37-7901;119
178;178;314-51-1945;223
179;179;715-86-7105;24
180;180;539-40-5070;226
181;181;575-09-5764;61
182;182;738-42-1974;227
183;183;766-96-0187;85
184;184;800-01-7067;130
185;185;621-58-5971;205
186;186;820-36-0298;192
187;187;549-66-1714;207
188;188;849-50-0210;211
189;189;825-17-2837;91
190;190;587-54-1095;266
191;191;382-87-1977;74
192;192;123-23-7084;250
193;193;254-08-0859;223
194;194;308-50-2857;230
195;195;123-30-9597;27
196;196;300-61-6288;44
197;197;817-73-6875;111
198;198;489-11-6349;40
199;199;896-82-9487;200
200;200;564-01-4025;46
201;201;473-59-4810;98
202;202;860-01-9737;222
203;203;720-98-2340;34
204;204;501-81-0610;212
205;205;640-48-9450;131
206;206;272-80-5344;29
207;207;148-93-3230;79
208;208;782-23-7031;178
209;209;833-56-2553;293
210;210;742-34-4588;240
211;211;140-79-0631;119
212;212;591-06-5510;122
213;213;129-71-0290;62
214;214;788-94-4525;64
215;215;472-03-1118;245
216;216;156-30-4331;263
217;217;319-87-5037;26
218;218;825-95-1972;146
219;219;781-64-7566;147
220;220;567-29-6216;125
221;221;219-18-8438;186
222;222;746-47-5705;110
223;223;665-76-4695;162
224;224;195-44-8940;96
225;225;629-07-7696;218
226;226;495-65-5050;118
227;227;416-28-9594;235
228;228;397-56-1504;294
229;229;640-17-2636;129
230;230;342-91-9797;194
231;231;551-68-1850;263
232;232;788-42-6145;97
233;233;609-15-9671;161
234;234;472-58-9769;105
235;235;193-87-3352;87
236;236;582-31-3645;213
237;237;277-78-8493;50
238;238;668-37-1080;25
239;239;132-17-2380;271
240;240;469-33-4446;256
241;241;164-78-1402;34
242;242;631-94-2739;269
243;243;411-95-4800;256
244;244;720-04-2177;125
245;245;487-68-4411;16
246;246;154-45-3867;159
247;247;460-47-3947;35
248;248;341-49-2565;285
249;249;777-57-5918;134
250;250;268-91-8998;47
251;251;302-61-8235;158
252;252;273-78-9470;295
253;253;517-91-7355;150
254;254;544-94-6085;186
255;255;769-26-4127;131
256;256;574-80-6463;290
257;257;325-20-5988;69
258;258;791-19-4941;275
259;259;684-05-2124;222
260;260;597-74-4871;58
261;261;253-25-5038;89
262;262;127-46-7265;216
263;263;414-41-7951;41
264;264;814-94-1199;16
265;265;593-23-1132;74
266;266;271-21-6126;138
267;267;722-69-7975;202
268;268;861-76-2033;109
269;269;304-20-5744;60
270;270;595-64-3741;112
271;271;646-86-3937;292
272;272;539-70-5395;129
273;273;527-30-2055;38
274;274;621-32-3373;233
275;275;515-07-7330;56
276;276;820-07-3030;255
277;277;872-57-8903;246
278;278;241-89-8975;267
279;279;357-56-5190;285
280;280;446-42-0382;183
281;281;374-32-0718;74
282;282;407-24-0900;189
283;283;498-15-1414;237
284;284;426-50-4411;155
285;285;299-13-6352;31
