ads_id;ads_street_name;ads_number;ads_neighborhood;ads_city;ads_state
123;Towne;689;West Virginia;Huntington;Ohio
124;Westridge;29;Texas;El Paso;North Carolina
125;Sundown;336;Georgia;Atlanta;Minnesota
126;Nobel;721;Michigan;Detroit;California
127;Mesta;257;California;Concord;California
128;5th;357;Tennessee;Memphis;California
129;Oneill;53;California;Sacramento;Massachusetts
130;Clyde Gallagher;167;Virginia;Norfolk;New Hampshire
131;Kings;637;California;San Diego;California
132;Manley;965;Illinois;Peoria;Florida
133;Anhalt;518;Texas;Midland;Texas
134;Arizona;306;Missouri;Saint Louis;Oklahoma
135;Fallview;57;Texas;El Paso;Massachusetts
136;Anniversary;962;Oregon;Portland;Virginia
137;Debra;783;California;San Jose;Georgia
138;Roxbury;206;California;Sacramento;Florida
139;Novick;721;New York;Rochester;Texas
140;Talisman;853;South Dakota;Sioux Falls;Minnesota
141;Oneill;957;Utah;Salt Lake City;Delaware
142;Dunning;597;Texas;San Angelo;Washington
143;Green Ridge;508;Kentucky;Lexington;Florida
144;Continental;645;New York;New York City;Connecticut
145;Esch;108;Pennsylvania;Erie;Ohio
146;Hanson;679;Illinois;Decatur;Connecticut
147;Hintze;450;Washington;Kent;Wisconsin
148;Kinsman;574;Ohio;Cincinnati;Michigan
149;Londonderry;520;California;Concord;Massachusetts
150;Barnett;457;California;San Francisco;Illinois
151;Delladonna;429;Indiana;Indianapolis;California
152;Talisman;659;Florida;Panama City;Alabama
153;Daystar;92;California;Sacramento;Florida
154;Melby;862;Georgia;Macon;Arizona
155;Hanover;757;Texas;Austin;New York
156;Melby;303;Illinois;Chicago;Minnesota
157;Lien;423;Florida;Orlando;District of Columbia
158;Grayhawk;317;New York;Syracuse;California
159;Bluejay;496;Washington;Spokane;Pennsylvania
160;Porter;44;Missouri;Saint Louis;Utah
161;Prentice;128;Texas;Fort Worth;Florida
162;Morrow;575;California;Pasadena;Pennsylvania
163;South;349;Florida;Tampa;Virginia
164;Judy;960;Alabama;Tuscaloosa;Texas
165;Oneill;622;New Mexico;Albuquerque;Texas
166;Straubel;448;Connecticut;New Haven;Wisconsin
167;Crest Line;456;Virginia;Herndon;Alaska
168;Anniversary;717;Louisiana;Baton Rouge;Florida
169;Maple;343;Florida;Orlando;Kansas
170;Division;657;South Carolina;Spartanburg;Wisconsin
171;Hermina;975;District of Columbia;Washington;Illinois
172;Melody;254;New York;New York City;West Virginia
173;5th;470;North Carolina;Winston Salem;Virginia
174;Becker;566;New York;Albany;Michigan
175;Eliot;913;Texas;El Paso;California
176;Oak;391;Missouri;Springfield;New York
177;Ronald Regan;611;Nebraska;Lincoln;Hawaii
178;Sullivan;866;California;Northridge;Ohio
179;Jana;406;Missouri;Saint Louis;Virginia
180;Mallory;235;Tennessee;Chattanooga;Missouri
181;Cambridge;42;Louisiana;Baton Rouge;District of Columbia
182;Bayside;999;Florida;Fort Lauderdale;Kentucky
183;Bayside;315;Virginia;Richmond;Arizona
184;Memorial;21;Texas;Midland;Kentucky
185;Spenser;728;Colorado;Boulder;Michigan
186;Menomonie;37;Missouri;Kansas City;Minnesota
187;Longview;474;Texas;Corpus Christi;Texas
188;Muir;926;Nevada;Las Vegas;Indiana
189;Duke;655;California;Sacramento;Texas
190;Calypso;549;Utah;Salt Lake City;Florida
191;Mayfield;483;North Carolina;Greensboro;New York
192;3rd;132;Michigan;Southfield;Georgia
193;Sloan;641;Georgia;Savannah;Texas
194;Waywood;962;Alabama;Mobile;Maryland
195;Grim;775;New York;New York City;Texas
196;Hovde;894;New York;New York City;Texas
197;Hanson;200;Kansas;Shawnee Mission;Florida
198;Orin;388;Texas;Temple;Texas
199;Fuller;780;Georgia;Columbus;Florida
200;Parkside;773;Ohio;Cincinnati;Virginia
201;Holmberg;55;Colorado;Denver;New York
202;Shopko;692;Michigan;Detroit;Kentucky
203;Oak;555;Kansas;Wichita;Texas
204;Lawn;548;Georgia;Decatur;Illinois
205;Charing Cross;473;Ohio;Columbus;West Virginia
206;Ridge Oak;63;Arizona;Phoenix;California
207;Canary;879;Kansas;Topeka;Michigan
208;Boyd;383;California;Bakersfield;Nevada
209;Carberry;247;District of Columbia;Washington;Texas
210;Ridge Oak;366;Texas;Abilene;Arkansas
211;Donald;187;North Carolina;High Point;Illinois
212;Lakewood;38;New Mexico;Albuquerque;California
213;Continental;627;Georgia;Savannah;Colorado
214;Bunker Hill;844;District of Columbia;Washington;Delaware
215;Esker;930;Alabama;Montgomery;District of Columbia
216;Becker;813;Florida;Panama City;Alabama
217;Derek;613;Washington;Seattle;Florida
218;Forest Dale;393;Texas;Houston;Connecticut
219;Ryan;278;Florida;West Palm Beach;Nebraska
220;Twin Pines;8;Oklahoma;Oklahoma City;Wyoming
221;Mayfield;312;Virginia;Alexandria;Texas
222;Nancy;195;Texas;El Paso;Illinois
223;Milwaukee;172;New York;New York City;California
224;Tomscot;723;New York;Jamaica;Alabama
225;Sunbrook;993;Texas;Texarkana;California
226;Comanche;63;Colorado;Pueblo;Texas
227;Porter;163;Tennessee;Memphis;Minnesota
228;Briar Crest;726;Alaska;Anchorage;California
229;Bonner;93;Indiana;Terre Haute;Massachusetts
230;Crownhardt;392;North Carolina;Charlotte;Virginia
231;Merry;551;Mississippi;Hattiesburg;California
232;Stone Corner;809;Indiana;Indianapolis;Massachusetts
233;Holy Cross;825;Missouri;Kansas City;New Jersey
234;Gateway;500;Florida;Sarasota;Virginia
235;Kenwood;747;Georgia;Atlanta;Tennessee
236;Spohn;824;Oklahoma;Tulsa;Pennsylvania
237;Park Meadow;405;South Carolina;Columbia;California
238;Russell;118;Florida;Pensacola;Indiana
239;Dahle;106;Texas;Houston;Florida
240;Meadow Valley;647;New York;White Plains;New York
241;Granby;796;Mississippi;Jackson;Texas
242;Mayfield;175;Wisconsin;Milwaukee;Washington
243;Village Green;715;California;Sacramento;California
244;Cardinal;153;Alabama;Birmingham;Florida
245;Briar Crest;919;Delaware;Wilmington;New Mexico
246;Gina;871;California;San Rafael;Colorado
247;Sullivan;809;Alaska;Juneau;Florida
248;Arkansas;382;California;Los Angeles;Wisconsin
249;Hermina;289;Florida;Miami;District of Columbia
250;Emmet;894;Texas;Tyler;Georgia
251;Gina;288;Maryland;Silver Spring;Montana
252;Spohn;200;Maryland;Bowie;Virginia
253;4th;433;Tennessee;Jackson;Louisiana
254;Lotheville;586;Georgia;Atlanta;Texas
255;Shelley;329;California;Riverside;Washington
256;John Wall;703;Colorado;Colorado Springs;California
257;Mitchell;854;Nevada;Las Vegas;Florida
258;Derek;607;District of Columbia;Washington;New York
259;Dryden;281;Texas;San Antonio;California
260;Service;766;New York;Albany;Virginia
261;Norway Maple;128;Massachusetts;Boston;New York
262;Ludington;837;Alabama;Birmingham;Pennsylvania
263;Becker;808;Florida;Jacksonville;Texas
264;Larry;937;Florida;Port Charlotte;Illinois
265;Loomis;879;Arizona;Tucson;California
266;Merchant;889;Virginia;Suffolk;Ohio
267;Hermina;201;California;San Francisco;Iowa
268;Manitowish;342;Florida;Spring Hill;Texas
269;Mesta;884;Utah;Salt Lake City;Missouri
270;Dexter;204;Florida;Sarasota;Texas
271;Redwing;383;Ohio;Dayton;California
272;Oriole;171;Florida;Pensacola;Alabama
273;Mandrake;217;South Dakota;Sioux Falls;Wisconsin
274;Randy;495;Indiana;Indianapolis;Kansas
275;Annamark;901;New York;Syracuse;Louisiana
276;Nova;468;California;Sacramento;New York
277;Dahle;92;Oklahoma;Oklahoma City;Missouri
278;Little Fleur;73;North Carolina;Charlotte;Texas
279;Declaration;557;Alabama;Gadsden;Alabama
280;Manitowish;640;Georgia;Columbus;Virginia
281;Fair Oaks;431;Missouri;Saint Louis;Louisiana
282;East;735;Ohio;Akron;Louisiana
283;Porter;374;Kansas;Wichita;Pennsylvania
284;Westerfield;851;Florida;Miami;North Carolina
285;Harper;974;Kansas;Topeka;Montana
286;Burrows;321;Nevada;Las Vegas;Washington
287;Logan;162;California;Long Beach;Maryland
288;Fisk;190;New York;Brooklyn;Ohio
289;Westport;349;Hawaii;Honolulu;New Jersey
290;Cordelia;259;Georgia;Decatur;Florida
291;Dexter;865;New Jersey;Newark;Louisiana
292;Anzinger;136;Iowa;Des Moines;Pennsylvania
293;Northview;376;District of Columbia;Washington;Minnesota
294;Steensland;224;Texas;Spring;Texas
295;Oak Valley;717;South Dakota;Sioux Falls;South Carolina
296;Vernon;640;Florida;Punta Gorda;Virginia
297;Lunder;271;New York;New York City;Mississippi
298;Ilene;362;California;Fresno;Texas
299;Veith;48;California;San Diego;Virginia
300;West;193;Missouri;Springfield;Texas
